source_page,source_row,category,description,manufacturer_code,brand,quantity,source_price_cents,sale_price_cents,total_cents,confidence,source_fingerprint,internal_code,slug,issues
5,364,Iluminação,PISCA ADAP. OPALA/CARAVAN 80/87 CRISTAL LE,88059,HT LANTERNA,1,1800,2340,2340,high,98c67c6e36cb922c09a68b5892bd4f18e1001aa30facceac736ef7c641529340,APM1-0364,pisca-adap-opala-caravan-80-87-cristal-le-apm1-0364,
5,365,Iluminação,LENTE LANTERNA PALIOTO (VERDE),,,6,900,1170,7020,medium,9cca864f469a6e95f2577f7d11c47b8cfc49cc425c0aed4beccbb5f1ba524693,APM1-0365,lente-lanterna-palioto-verde-apm1-0365,missing_manufacturer_code
5,366,Iluminação,LENTE LANTERNA PALIOTO (VERMELHO),,,10,900,1170,11700,medium,f4858d5c6191addfeaadbc06587523294a520de4c7088629603078b03cba5c43,APM1-0366,lente-lanterna-palioto-vermelho-apm1-0366,missing_manufacturer_code
5,367,Iluminação,LENTE LANTERNA PALITO (AZUL),,,6,900,1170,7020,medium,4f33573942c106a690296e9bf2628f41d9ba405e74b301c81e104681ecd9ebba,APM1-0367,lente-lanterna-palito-azul-apm1-0367,missing_manufacturer_code
5,368,Iluminação,LENTE LANTERNA PALIOTO (AMARELO),,,11,900,1170,12870,medium,0307e96b49f74359914e14f7cbbfaae1a0391a34820c13fb776cab60db0e5c73,APM1-0368,lente-lanterna-palioto-amarelo-apm1-0368,missing_manufacturer_code
5,369,Iluminação,LENTE LANTERNA PALIOTO (CRISTAL),,,1,900,1170,1170,medium,09869d6e14bb5b7e80f6bd0f67a760f1f9be3d82a765bb95118e18880f22ad4f,APM1-0369,lente-lanterna-palioto-cristal-apm1-0369,missing_manufacturer_code
5,370,Iluminação,LENTE PISCA PUDIM (VERMELHA),,,5,900,1170,5850,medium,f429b8874d858b40d3e10cdf13a6deea8ba9c9c243d419bfb427eabf66d50472,APM1-0370,lente-pisca-pudim-vermelha-apm1-0370,missing_manufacturer_code
5,371,Iluminação,LENTE PISCA PUDIM (AMARELO),,,6,900,1170,7020,medium,8afb75d780143eb504e61d760aeb58193a256073ad6b95cb16931c2c126f54d6,APM1-0371,lente-pisca-pudim-amarelo-apm1-0371,missing_manufacturer_code
5,372,Iluminação,LENTE PISCA PUDIM (CRISTAL),,,6,900,1170,7020,medium,f79f90b67011549c30316ff9632e555974bb978c7a975d6010b41c5d1d9fb0e9,APM1-0372,lente-pisca-pudim-cristal-apm1-0372,missing_manufacturer_code
5,373,Iluminação,LENTE LANTERNA FORD TRASEIRO F1000,,,1,1000,1300,1300,medium,d94c2a255fedc453c5d6f7f06cad6868bbd5a5af3f6d421d41b86292c2e09a52,APM1-0373,lente-lanterna-ford-traseiro-f1000-apm1-0373,missing_manufacturer_code
5,374,Iluminação,LENTE LATERAL CRISTAL,,,4,1000,1300,5200,medium,928d11ed6d10ccbb6dbeb2da89044ec8644cc598370cc015689405c2ad3025ca,APM1-0374,lente-lateral-cristal-apm1-0374,missing_manufacturer_code
5,375,Iluminação,PISCA DIANTEIRO FUSCA 70 CRISTAL,133/8,,1,800,1040,1040,high,fd56ca6ec7cfe4d356a8177ce990e7b03fa76cf638a6bd9d9b66af1c04bf2711,APM1-0375,pisca-dianteiro-fusca-70-cristal-apm1-0375,
5,376,Iluminação,LANTERNA FRONTAL CAMINHÃO VW CRISTAL,J3003,,2,3800,4940,9880,high,3964fed77e4c9d2ea7311650ed53c1b4cf5642a7adcff96d4e8a95787bd64810,APM1-0376,lanterna-frontal-caminhao-vw-cristal-apm1-0376,
5,377,Iluminação,LENTE LATERAL (AMARELO),,,15,900,1170,17550,medium,a86f2aa192eba1fbf34d172aad230c751eb99f04755094c45b6d3f1e3ac95875,APM1-0377,lente-lateral-amarelo-apm1-0377,missing_manufacturer_code
5,378,Iluminação,LENTE LATERAL (VERMELHO),,,15,900,1170,17550,medium,cd7ba8dc350c4d4524a0418b3f7acb31f5e9b93cbae4997f2193a7befbba300f,APM1-0378,lente-lateral-vermelho-apm1-0378,missing_manufacturer_code
5,379,Iluminação,LANTERNA LATERAL DELIMITADORA,,,1,800,1040,1040,medium,e7b1d4186b65051308a5c192876bf54f553c2075d66fea140377c04492866d24,APM1-0379,lanterna-lateral-delimitadora-apm1-0379,missing_manufacturer_code
5,380,Iluminação,LANTERNA REDONDA UNIVERSAL TRASEIRA 10 LEDS BIVOLT,J10060P,JOLEMA,1,1300,1690,1690,high,91aa57e6c681afdd53dbc7e9d06e77726fbaf16bcc0294e707b870602e983942,APM1-0380,lanterna-redonda-universal-traseira-10-leds-bivolt-apm1-0380,
5,381,Iluminação,LENTE LANTERNA SETA PISCA CAMINHÃO VW (CRISTAL),,,4,1500,1950,7800,medium,3fd4ec151732c88330ecbf38e109bda0c4a885afe882324f52a923c1626f9070,APM1-0381,lente-lanterna-seta-pisca-caminhao-vw-cristal-apm1-0381,missing_manufacturer_code
5,382,Iluminação,LENTE LANTERNA TRASEIRA VARIANT 69/72 LD,,,1,1500,1950,1950,medium,32f172abb58b6f0dffa416051d5bfcc0a4071c279fd6ca1650be62651a03ef10,APM1-0382,lente-lanterna-traseira-variant-69-72-ld-apm1-0382,missing_manufacturer_code
5,383,Iluminação,LENTE LANTERNA TRASEIRA VARIANT 69/72 LE,,,1,1500,1950,1950,medium,191d1aa530e3a87fda009fa2c9732c770bd93523b81084d13e5680ae2dc807d4,APM1-0383,lente-lanterna-traseira-variant-69-72-le-apm1-0383,missing_manufacturer_code
5,384,Iluminação,LENTE DIANTEIRA MONZA 83/87 LD,,,1,1500,1950,1950,medium,d99a59efacc5beaf7adc34dbd6e5b0b076db264305aa25d83e5f8cf880d7f6fb,APM1-0384,lente-dianteira-monza-83-87-ld-apm1-0384,missing_manufacturer_code
5,385,Iluminação,LANTERNA TRASEIRA VERMELHA CAMINHÃO,,,1,1300,1690,1690,medium,1df627857fb040719b104983409f871f95d7e1d38a958669b2f9149a04e3405c,APM1-0385,lanterna-traseira-vermelha-caminhao-apm1-0385,missing_manufacturer_code
5,386,Iluminação,LANTERNA DIANTEIRA MONZA 82/97 LD AMBAR,154012,JCV,2,1000,1300,2600,high,5452d16680ff46929cf9e39ecc1f0dfedd9913c5158fee3ff0179cd5fa3af6a7,APM1-0386,lanterna-dianteira-monza-82-97-ld-ambar-apm1-0386,
5,387,Iluminação,LENTE ALANTERNA MERCEDES BENZ CARGO,,,2,1500,1950,3900,medium,54c79ef7c81ea81e039494bd22289a163f9a761c06cbbcf7310ef1ca60205859,APM1-0387,lente-alanterna-mercedes-benz-cargo-apm1-0387,missing_manufacturer_code
5,388,Iluminação,LENTE LANTERNA LATERAL FORD CARGO (CRISTAL),219472,F. CONFUORTO,4,1500,1950,7800,high,260979de3135bc9a05f0fdb6cb7b52abcd74d3162620c88915a3e833fde27038,APM1-0388,lente-lanterna-lateral-ford-cargo-cristal-apm1-0388,
5,389,Iluminação,PISCA AMBAR SETA DELREY/BELINA/CORCEL 88 LD,,,1,1800,2340,2340,medium,25f5248791ea101570af0a303b74c6e79fbf49fed8e4a55f249d528e3f583ba3,APM1-0389,pisca-ambar-seta-delrey-belina-corcel-88-ld-apm1-0389,missing_manufacturer_code
5,390,Iluminação,LENTE DIANTEIRA CHEVROLET REGUA (CRISTAL),,,5,1500,1950,9750,medium,4811e4ac02e7471fb8fb74f20efcf561472b32c4a2442c5f9064af522eed254e,APM1-0390,lente-dianteira-chevrolet-regua-cristal-apm1-0390,missing_manufacturer_code
5,391,Iluminação,LENTE DIANTEIRA CHEVROLET REGUA (AMARELA),,,5,1500,1950,9750,medium,4f93d075f1ce78e1cb9a03ee61003ef3a53a6ef8a67f8be80d480c402abcca37,APM1-0391,lente-dianteira-chevrolet-regua-amarela-apm1-0391,missing_manufacturer_code
5,392,Iluminação,LENTE LANTERNA TRASEIRA CAMINHÃO SCANIA,,,3,1500,1950,5850,medium,2c989ae184870c17f3c359a7003b63cbc6142d19db87eaf974c4338ea07474ba,APM1-0392,lente-lanterna-traseira-caminhao-scania-apm1-0392,missing_manufacturer_code
5,393,Iluminação,LANTERNA PRADOLUX SETA 1714 C/CHATA LD,183775,F. CONFUORTO,2,2500,3250,6500,high,1d9216a846c6dc39214c031f5e7185b92a7bece149cd67cf8167aad16b23c0ef,APM1-0393,lanterna-pradolux-seta-1714-c-chata-ld-apm1-0393,
5,394,Iluminação,LANTERNA LUZ DE RÉ FUSCA/BRASILIA/VARIANT,,,1,3800,4940,4940,medium,962b2cb3cec2d00613a2b1e3212746bfe669b486f5b9cf3a85d2767ee7e8da37,APM1-0394,lanterna-luz-de-re-fusca-brasilia-variant-apm1-0394,missing_manufacturer_code
5,395,Iluminação,LENTE LANTERNA LATERAL BAÚ/CARROCERIA (AMRALEA),,,4,1500,1950,7800,medium,7ea1a32d25565bb9898f745b6a09d166aad10b574a1771d348ee03b724b5509e,APM1-0395,lente-lanterna-lateral-bau-carroceria-amralea-apm1-0395,missing_manufacturer_code
5,396,Iluminação,LENTE LATERAL CAMINHÃO /ÔNIBUIS (VERMELHO),,,10,1500,1950,19500,medium,503ace8825928d549b171d28b4fe01571f67684293e0cb1b71f809fb57c92beb,APM1-0396,lente-lateral-caminhao-onibuis-vermelho-apm1-0396,missing_manufacturer_code
5,397,Iluminação,LANTERNA CORTESIA PORTA MONZA 85/89 KADDET 89/...,,,1,1000,1300,1300,medium,5c6bf2cb31303c78a3ce0a45c837e6c70148e997a37005e4a2dc7f312c99455d,APM1-0397,lanterna-cortesia-porta-monza-85-89-kaddet-89-apm1-0397,missing_manufacturer_code
5,398,Iluminação,PISCA SETA KADETT CRISTAL LD,,,1,2500,3250,3250,medium,8226021a74f42250fb78b90a004d5a6f57c6a6c1ff09a599ed8c58c60b65d34b,APM1-0398,pisca-seta-kadett-cristal-ld-apm1-0398,missing_manufacturer_code
5,399,Iluminação,LANTERNA TRASEIRA PICK-UP GM C-10,,PRADO,2,3500,4550,9100,medium,a669097d17bfc1dd6715d215da83523dac770b2a0b4c4a1ccc42b5737572b3f0,APM1-0399,lanterna-traseira-pick-up-gm-c-10-apm1-0399,missing_manufacturer_code
5,400,Iluminação,LENTE LATERAL CAMINHÃO/ÔNIBUS CRISTAL,,,4,1500,1950,7800,medium,b185aa46aef78af717078f0dd8c0cb7ef2a90ce0a5c0562f2201ffd929bd45e9,APM1-0400,lente-lateral-caminhao-onibus-cristal-apm1-0400,missing_manufacturer_code
